origin,relationship_id,join_method,semantic_group_position,semantic_group_size,relationship_type,input_validation_status,domain,match_classification,match_reason,candidate_count,cube_name,dimension_name,hierarchy_name,attribute_name,subset_name,view_name,target_name,candidate_node_ids
RULE,semantic::rule::sys legacy elements::USES_ATTRIBUTE::attribute::!}dimensions,SEMANTIC_KEY,1,1,USES_ATTRIBUTE,ATTRIBUTE_CATALOG_DEFERRED,ATTRIBUTE,AMBIGUOUS_MATCH,Only target name was supplied,17,SYS Legacy Elements,,,Legacy,,,!}Dimensions,attribute::BS Account::BS Account::Legacy | attribute::Company::Company::Legacy | attribute::Cost Center::Cost Center::Legacy | attribute::Customer::Customer::Legacy | attribute::Functional Area::Functional Area::Legacy | attribute::Glenn Springs Order::Glenn Springs Order::Legacy | attribute::Material::Material::Legacy | attribute::Order::Order::Legacy | attribute::Partner Profit Center::Partner Profit Center::Legacy | attribute::PL Account::PL Account::Legacy | attribute::Plant::Plant::Legacy | attribute::Plant Assessment Cost Object::Plant Assessment Cost Object::Legacy | attribute::Production Order::Production Order::Legacy | attribute::Profit Center::Profit Center::Legacy | attribute::Turnaround and Other Project::Turnaround and Other Project::Legacy | attribute::Vendor::Vendor::Legacy | attribute::WBS Element::WBS Element::Legacy
TI,semantic::ti::dataupdate - project spending - validation - manual::READS_ATTRIBUTE::attribute::afe number.safenum,SEMANTIC_KEY,1,1,READS_ATTRIBUTE,ATTRIBUTE_CATALOG_DEFERRED,ATTRIBUTE,DYNAMIC_REFERENCE,Expression contains dynamic tokens,0,,AFE Number,,sAFENum,,,AFE Number.sAFENum,
TI,semantic::ti::dataupdate - project spending - validation - manual::WRITES_ATTRIBUTE::attribute::afe number.'afe ' | numbertostring ( nafecnt ),SEMANTIC_KEY,1,1,WRITES_ATTRIBUTE,ATTRIBUTE_CATALOG_DEFERRED,ATTRIBUTE,DYNAMIC_REFERENCE,Expression contains dynamic tokens,0,,AFE Number,,'AFE ' | NumberToString ( nAFECnt ),,,AFE Number.'AFE ' | NumberToString ( nAFECnt ),
TI,semantic::ti::dataupdate - project spending - validation::READS_ATTRIBUTE::attribute::afe number.safenum,SEMANTIC_KEY,1,1,READS_ATTRIBUTE,ATTRIBUTE_CATALOG_DEFERRED,ATTRIBUTE,DYNAMIC_REFERENCE,Expression contains dynamic tokens,0,,AFE Number,,sAFENum,,,AFE Number.sAFENum,
TI,semantic::ti::dataupdate - project spending - validation::WRITES_ATTRIBUTE::attribute::afe number.'afe ' | numbertostring ( nafecnt ),SEMANTIC_KEY,1,1,WRITES_ATTRIBUTE,ATTRIBUTE_CATALOG_DEFERRED,ATTRIBUTE,DYNAMIC_REFERENCE,Expression contains dynamic tokens,0,,AFE Number,,'AFE ' | NumberToString ( nAFECnt ),,,AFE Number.'AFE ' | NumberToString ( nAFECnt ),
TI,semantic::ti::dataupdate - scenario archive - numeric::WRITES_ATTRIBUTE::attribute::pcube.v2,SEMANTIC_KEY,1,1,WRITES_ATTRIBUTE,ATTRIBUTE_CATALOG_DEFERRED,ATTRIBUTE,DYNAMIC_REFERENCE,Expression contains dynamic tokens,0,,pCube,,v2,,,pCube.v2,
TI,semantic::ti::dataupdate - scenario archive - numeric::WRITES_ATTRIBUTE::attribute::pcube.v3,SEMANTIC_KEY,1,1,WRITES_ATTRIBUTE,ATTRIBUTE_CATALOG_DEFERRED,ATTRIBUTE,DYNAMIC_REFERENCE,Expression contains dynamic tokens,0,,pCube,,v3,,,pCube.v3,
TI,semantic::ti::dataupdate - scenario archive - string::WRITES_ATTRIBUTE::attribute::pcube.v2,SEMANTIC_KEY,1,1,WRITES_ATTRIBUTE,ATTRIBUTE_CATALOG_DEFERRED,ATTRIBUTE,DYNAMIC_REFERENCE,Expression contains dynamic tokens,0,,pCube,,v2,,,pCube.v2,
TI,semantic::ti::dataupdate - scenario archive - string::WRITES_ATTRIBUTE::attribute::pcube.v3,SEMANTIC_KEY,1,1,WRITES_ATTRIBUTE,ATTRIBUTE_CATALOG_DEFERRED,ATTRIBUTE,DYNAMIC_REFERENCE,Expression contains dynamic tokens,0,,pCube,,v3,,,pCube.v3,
TI,semantic::ti::dataupdate - sys bs account hierarchy::CREATES_ATTRIBUTE::attribute::sys bs account hierarchy.shiername | ' id',SEMANTIC_KEY,1,1,CREATES_ATTRIBUTE,ATTRIBUTE_CATALOG_DEFERRED,ATTRIBUTE,DYNAMIC_REFERENCE,Expression contains dynamic tokens,0,,SYS BS Account Hierarchy,,sHierName | ' ID',,,SYS BS Account Hierarchy.sHierName | ' ID',
TI,semantic::ti::dataupdate - sys bs account hierarchy::WRITES_ATTRIBUTE::attribute::sys bs account hierarchy.shiername | ' id',SEMANTIC_KEY,1,1,WRITES_ATTRIBUTE,ATTRIBUTE_CATALOG_DEFERRED,ATTRIBUTE,DYNAMIC_REFERENCE,Expression contains dynamic tokens,0,,SYS BS Account Hierarchy,,sHierName | ' ID',,,SYS BS Account Hierarchy.sHierName | ' ID',
TI,semantic::ti::dataupdate - sys gl account hierarchy::WRITES_ATTRIBUTE::attribute::sys gl account hierarchy.shiername | ' id',SEMANTIC_KEY,1,1,WRITES_ATTRIBUTE,ATTRIBUTE_CATALOG_DEFERRED,ATTRIBUTE,DYNAMIC_REFERENCE,Expression contains dynamic tokens,0,,SYS GL Account Hierarchy,,sHierName | ' ID',,,SYS GL Account Hierarchy.sHierName | ' ID',
TI,semantic::ti::dimupdate - company - sap hierarchy::READS_ATTRIBUTE::attribute::sys company hierarchy.shier | ' description',SEMANTIC_KEY,1,1,READS_ATTRIBUTE,ATTRIBUTE_CATALOG_DEFERRED,ATTRIBUTE,DYNAMIC_REFERENCE,Expression contains dynamic tokens,0,,SYS Company Hierarchy,,sHier | ' Description',,,SYS Company Hierarchy.sHier | ' Description',
TI,semantic::ti::dimupdate - company - sap hierarchy::READS_ATTRIBUTE::attribute::sys company hierarchy.shier | ' parent',SEMANTIC_KEY,1,1,READS_ATTRIBUTE,ATTRIBUTE_CATALOG_DEFERRED,ATTRIBUTE,DYNAMIC_REFERENCE,Expression contains dynamic tokens,0,,SYS Company Hierarchy,,sHier | ' Parent',,,SYS Company Hierarchy.sHier | ' Parent',
TI,semantic::ti::dimupdate - company - sap hierarchy::READS_ATTRIBUTE::attribute::sys company hierarchy.shier | ' sequence number',SEMANTIC_KEY,1,1,READS_ATTRIBUTE,ATTRIBUTE_CATALOG_DEFERRED,ATTRIBUTE,DYNAMIC_REFERENCE,Expression contains dynamic tokens,0,,SYS Company Hierarchy,,sHier | ' Sequence Number',,,SYS Company Hierarchy.sHier | ' Sequence Number',
TI,semantic::ti::dimupdate - cost center - sap hierarchy::CREATES_ATTRIBUTE::attribute::cost center.shier | ' parent',SEMANTIC_KEY,1,1,CREATES_ATTRIBUTE,ATTRIBUTE_CATALOG_DEFERRED,ATTRIBUTE,DYNAMIC_REFERENCE,Expression contains dynamic tokens,0,,Cost Center,,sHier | ' Parent',,,Cost Center.sHier | ' Parent',
TI,semantic::ti::dimupdate - functional area - sap hierarchy import::READS_ATTRIBUTE::attribute::sys func area hierarchy.h112/'| phierarchy | ' description,SEMANTIC_KEY,1,1,READS_ATTRIBUTE,ATTRIBUTE_CATALOG_DEFERRED,ATTRIBUTE,DYNAMIC_REFERENCE,Expression contains dynamic tokens,0,,SYS Func Area Hierarchy,,H112/'| pHierarchy | ' Description,,,SYS Func Area Hierarchy.H112/'| pHierarchy | ' Description,
TI,semantic::ti::dimupdate - functional area - sap hierarchy import::READS_ATTRIBUTE::attribute::sys func area hierarchy.h112/'| phierarchy | ' parent,SEMANTIC_KEY,1,1,READS_ATTRIBUTE,ATTRIBUTE_CATALOG_DEFERRED,ATTRIBUTE,DYNAMIC_REFERENCE,Expression contains dynamic tokens,0,,SYS Func Area Hierarchy,,H112/'| pHierarchy | ' Parent,,,SYS Func Area Hierarchy.H112/'| pHierarchy | ' Parent,
TI,semantic::ti::dimupdate - functional area - sap hierarchy import::READS_ATTRIBUTE::attribute::sys func area hierarchy.h112/'| phierarchy | ' sequence number,SEMANTIC_KEY,1,1,READS_ATTRIBUTE,ATTRIBUTE_CATALOG_DEFERRED,ATTRIBUTE,DYNAMIC_REFERENCE,Expression contains dynamic tokens,0,,SYS Func Area Hierarchy,,H112/'| pHierarchy | ' Sequence Number,,,SYS Func Area Hierarchy.H112/'| pHierarchy | ' Sequence Number,
TI,semantic::ti::dimupdate - functional area - sap hierarchy::CREATES_ATTRIBUTE::attribute::functional area.shier | ' parent',SEMANTIC_KEY,1,1,CREATES_ATTRIBUTE,ATTRIBUTE_CATALOG_DEFERRED,ATTRIBUTE,DYNAMIC_REFERENCE,Expression contains dynamic tokens,0,,Functional Area,,sHier | ' Parent',,,Functional Area.sHier | ' Parent',
