source_catalog,profile_status,expression_pattern,profile_expression,profile_source,profile_relationship_type,profile_target_type,profile_confidence,target_name,target_expression,reason
TI,UNRESOLVED_DYNAMIC_REFERENCE,SIMPLE_VARIABLE,scube,DataUpdate - ML Stage,WRITES_TO_CUBE,cube,UNRESOLVED,scube,scube,The target could not be resolved to a dependable catalog name.
TI,UNRESOLVED_DYNAMIC_REFERENCE,SIMPLE_VARIABLE,sCube,DataUpdate - Scenario Archive - Numeric,CLEARS_CUBE,cube,UNRESOLVED,sCube,sCube,The target could not be resolved to a dependable catalog name.
TI,UNRESOLVED_DYNAMIC_REFERENCE,SIMPLE_VARIABLE,pCube,DataUpdate - Scenario Archive - Numeric,INCREMENTS_CUBE,cube,UNRESOLVED,pCube,pCube,The target could not be resolved to a dependable catalog name.
TI,UNRESOLVED_DYNAMIC_REFERENCE,SIMPLE_VARIABLE,pCube,DataUpdate - Scenario Archive - Numeric,WRITES_TO_CUBE,cube,UNRESOLVED,pCube,pCube,The target could not be resolved to a dependable catalog name.
TI,UNRESOLVED_DYNAMIC_REFERENCE,SIMPLE_VARIABLE,sCube,DataUpdate - Scenario Archive - String,CLEARS_CUBE,cube,UNRESOLVED,sCube,sCube,The target could not be resolved to a dependable catalog name.
TI,UNRESOLVED_DYNAMIC_REFERENCE,SIMPLE_VARIABLE,pCube,DataUpdate - Scenario Archive - String,INCREMENTS_CUBE,cube,UNRESOLVED,pCube,pCube,The target could not be resolved to a dependable catalog name.
TI,UNRESOLVED_DYNAMIC_REFERENCE,SIMPLE_VARIABLE,pCube,DataUpdate - Scenario Archive - String,WRITES_TO_CUBE,cube,UNRESOLVED,pCube,pCube,The target could not be resolved to a dependable catalog name.
TI,UNRESOLVED_DYNAMIC_REFERENCE,SIMPLE_VARIABLE,sTgtCube,SecurityUpdate - Element Security,CLEARS_CUBE,cube,UNRESOLVED,sTgtCube,sTgtCube,The target could not be resolved to a dependable catalog name.
TI,UNRESOLVED_DYNAMIC_REFERENCE,SIMPLE_VARIABLE,sTgtCube,SecurityUpdate - Element Security,WRITES_TO_CUBE,cube,UNRESOLVED,sTgtCube,sTgtCube,The target could not be resolved to a dependable catalog name.
TI,UNRESOLVED_DYNAMIC_REFERENCE,SIMPLE_VARIABLE,sTgtCube,SecurityUpdate - Element Security - Hierarchy Archive,CLEARS_CUBE,cube,UNRESOLVED,sTgtCube,sTgtCube,The target could not be resolved to a dependable catalog name.
TI,UNRESOLVED_DYNAMIC_REFERENCE,SIMPLE_VARIABLE,sTgtCube,SecurityUpdate - Element Security - Hierarchy Archive,WRITES_TO_CUBE,cube,UNRESOLVED,sTgtCube,sTgtCube,The target could not be resolved to a dependable catalog name.
TI,UNRESOLVED_DYNAMIC_REFERENCE,SIMPLE_VARIABLE,sAttrCube,Sys_Attribute Hierarchy,READS_FROM_CUBE,cube,UNRESOLVED,sAttrCube,sAttrCube,The target could not be resolved to a dependable catalog name.
TI,UNRESOLVED_DYNAMIC_REFERENCE,SIMPLE_VARIABLE,pDimension,Sys_Attribute Hierarchy,UPDATES_DIMENSION,dimension,UNRESOLVED,pDimension,pDimension,The target could not be resolved to a dependable catalog name.
TI,UNRESOLVED_DYNAMIC_REFERENCE,SIMPLE_VARIABLE,sAttrCube,Sys_Attribute Hierarchy,WRITES_TO_CUBE,cube,UNRESOLVED,sAttrCube,sAttrCube,The target could not be resolved to a dependable catalog name.
TI,UNRESOLVED_DYNAMIC_REFERENCE,SIMPLE_VARIABLE,pCube,sys_cube_clear,CLEARS_CUBE,cube,UNRESOLVED,pCube,pCube,The target could not be resolved to a dependable catalog name.
TI,UNRESOLVED_DYNAMIC_REFERENCE,SIMPLE_VARIABLE,pCube,Sys_Cube_Clear_Data,CLEARS_CUBE,cube,UNRESOLVED,pCube,pCube,The target could not be resolved to a dependable catalog name.
